© Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;
;;;;;;;;;;
Alphabetisches Verzeichnis der Wahlbewerber zur Bundestagswahl 2013;;;;;;;;;;
;;;;;;;;;;
Name, Vorname;Geburtsjahr;Beruf;Berufsschlüssel;Geschlecht;Partei;Land;Platz;Wahlkreis;"Gewählt: 1=über Wkr; 2=über LL";
Bante, Bernd;1964;Diplom-Physiker;61;1;SPD;BY;41;253;0;
Bär, Dorothee;1978;MdB, Diplom-Politologin;76;2;CSU;BY;6;248;1;
Bär, Karl;1985;Agrarökonom;1;1;GRÜNE;BY;14;224;0;
Barbas, Dr. Helena;1978;Diplom-Mathematikerin;61;2;Die PARTEI;BE;1;83;0;
Barboucha, Ahmed;1964;Angestellter;78;1;BIG;NW;11;;0;
Barchmann, Heinz-Joachim;1950;Gewerkschaftssekretär;76;1;SPD;NI;19;51;2;
Bard, Dennis;1983;Kaufmann für Bürokommunikation;78;1;DIE LINKE;;;298;0;
Bareiß, Thomas;1975;Mitglied des Deutschen Bundestages;76;1;CDU;;;295;1;
Barenhoff, Markus;1980;Selbstständiger Softwareentwickler;77;1;PIRATEN;NW;8;;0;
Barimis, Michel;1987;Koch;41;1;MLPD;BY;11;;0;
Bärisch, Andreas;1981;Medientechnologe-Druck;83;1;PIRATEN;;;155;0;
Barkauskas, Constantin;1980;Senior-Controler;75;1;REP;BY;46;;0;
Barley, Dr. Katarina;1968;Juristin;81;2;SPD;RP;7;204;2;
Barnett, Doris;1953;MdB, Juristin;7;2;SPD;RP;5;208;2;
Barschdorf, Dr. Jens Uwe;1982;Patentreferent;81;1;FDP;BY;13;215;0;
Bartels, Dr. Hans-Peter;1961;Angestellter;78;1;SPD;SH;7;5;1;
Bartelt, Christian;1976;Zahnarzt;84;1;FDP;MV;4;16;0;
Barth, Cornelia;1958;Diplom-Sozialarbeiterin;86;2;DIE LINKE;HB;5;;0;
Barth, Volker;1962;Offizier der Bundeswehr;80;1;CDU;BW;44;;0;
Barthel, Klaus;1955;Mitglied des Deutschen Bundestages;76;1;SPD;BY;5;224;2;
Barthle, Norbert;1952;Mitglied des Deutschen Bundestages;76;1;CDU;;;269;1;
Bartholome, Anna;1949;Journalistin;82;2;MLPD;RP;3;;0;
Bartke, Dr. Matthias;1959;Jurist;81;1;SPD;;;19;1;
Bartl, Franziska Andrea;1985;Dozentin;87;2;SPD;BY;45;;0;
Bartol, Sören;1974;Diplom-Politologe;88;1;SPD;HE;7;171;1;
Bartsch, Dr. Dietmar Gerhard;1958;Mitglied des Deutschen Bundestages;76;1;DIE LINKE;MV;1;12;2;
Bartsch, Martin;1971;Freiberuflicher Softwareentwickler;77;1;PIRATEN;BW;13;271;0;
Bartsch, Thomas;1960;Fluggerätemechaniker;28;1;DIE LINKE;;;28;0;
Bartz, Julia;1984;Referentin;76;2;CSU;BY;39;;2;
Barutta, Bernhard Heinrich;1961;Leitender Angestellter;75;1;AfD;HE;16;;0;
Barz, Monika;1953;Professorin;87;2;GRÜNE;BW;37;;0;
Bas, Bärbel;1968;Mitglied des Deutschen Bundestages;76;2;SPD;NW;30;115;1;
Basibüyück, Aslan;1976;Angestellter;78;1;AfD;RP;4;;0;
Bastian, Anke;1967;Diplom-Sportlehrerin;87;2;FREIE WÄHLER;NI;2;49;0;
Bastian, Dr. Uwe;1957;Soziologe;88;1;PIRATEN;MV;3;16;0;
Bastian, Endrik;1964;Krankenpfleger;85;1;PSG;BE;4;;0;
Bastian, Thorsten Winfried;1972;Postbeamter;78;1;AfD;SH;15;;0;
Bätge, Carsten;1967;Prozessmanager;75;1;PIRATEN;NI;15;;0;
Bäther, Heiner;1969;Gartenbautechniker;5;1;DIE LINKE;NW;19;;0;
Battke, Lutz;1958;Schornsteinfegermeister;80;1;NPD;ST;3;;0;
Bätzing-Lichtenthäler, Sabine;1975;MdB, Diplom-Verwaltungswirtin (FH);76;2;SPD;RP;3;198;2;
Bauer, Adolf;1934;Maschinenbauer;27;1;REP;BY;36;;0;
Bauer, Alexander;1968;Kriminalhauptkommissar;80;1;SPD;BW;36;264;0;
Bauer, Anna Sophia;1989;Studentin;94;2;Die PARTEI;BE;3;230;0;
Bauer, Anneliese;1924;Hauswirtschafterin;92;2;Volksabstimmung;BW;4;;0;
Bauer, Carmelito Robert Josef;1994;Student;94;1;PIRATEN;HE;8;;0;
Bauer, Emil Karl Ekkehard;1953;Bauingenieur;60;1;MLPD;BY;7;252;0;
Bauer, Rainer;1950;Angestellte;78;1;REP;BE;2;;0;
Bauer, Robert Karlheinz;1971;Altenpfleger;86;1;PIRATEN;HB;3;54;0;
Bauer, Robert Siegfried;1964;Unternehmer;75;1;BP;BY;10;;0;
Bauer, Stefan;1964;Wirtschaftsingenieur;60;1;Anderer KWV;;;223;0;
Bäuerle, Peter;1951;Diplom-Mathematiker;61;1;MLPD;BW;11;260;0;
Bauersfeld, Martin Gerhard;1950;Pilot;72;1;Anderer KWV;;;72;0;
Baumann, Anna Elisabeth;1961;Steuergehilfin;75;2;DIE VIOLETTEN;BY;35;;0;
Baumann, Helmut Günter;1947;Mitglied des Deutschen Bundestages;76;1;CDU;;;164;1;
Baumann, Kai;1972;Anwendungsentwickler;77;1;PIRATEN;;;88;0;
Baumann, Natascha Colette;1977;Diplom-Betriebswirtin;88;2;FDP;HE;15;177;0;
Baumann, Otto;1947;Rechtsanwalt;81;1;AfD;HE;11;;0;
Baumbach, Barbara;1960;Oberrechnungsrätin;76;2;CDU;BE;11;;0;
Baumelt, Lothar;1951;Briefzusteller a. D.;95;1;Anderer KWV;;;52;0;
Baumgardt, Martin Patrick;1966;Rentner;95;1;NPD;;;182;0;
Baumgartner, Roman;1982;Diplom-Verwaltungswirt (FH);76;1;CDU;BW;21;;0;
Baur, Dieter;1953;Erster Polizeihauptkommissar;80;1;ÖDP;BW;4;258;0;
Baur, Jens;1979;Referent;76;1;NPD;SN;4;160;0;
Bayaz, Danyal;1983;Unternehmensberater;75;1;GRÜNE;BW;14;272;0;
Bäz-Dölle, Uwe;1966;Stahlbauschlosser;25;1;NPD;TH;6;196;0;
Bazi, Karel;1948;Bankkaufmann;69;1;MLPD;HH;5;;0;
Bech, Tamas Antal;1954;Altenpfleger;86;1;BüSo;;;93;0;
Bechert, Dr. Arthur;1964;Diplom-Physiker;61;1;CSU;BY;68;;0;
Becht, Marcus;1971;Industriekaufmann;78;1;ÖDP;RP;23;;0;
Becht, Susanne;1974;Buchhändlerin;67;2;ÖDP;RP;21;;0;
Beck von der, Sabine;1963;Diplom-Volkswirtin, PR-Beraterin;88;2;GRÜNE;NW;35;141;0;
Beck, Marieluise;1952;MdB, Lehrerin;76;2;GRÜNE;HB;1;54;2;
Beck, Tobias;1985;Betriebswirt;88;1;FDP;RP;24;;0;
Beck, Volker;1960;MdB, Referent;76;1;GRÜNE;NW;2;94;2;
Becker, Antonius;1955;Forstwirtschaftsmeister;6;1;GRÜNE;;;147;0;
Becker, Bernd;1958;Polizist;80;1;SPD;RP;31;;0;
Becker, Burkhard;1954;Maurer;44;1;NPD;;;136;0;
Becker, Dirk;1966;Diplom-Verwaltungswirt;76;1;SPD;;;135;1;
Becker, Dr. Andreas;1958;Tierarzt;84;1;ÖDP;BY;7;254;0;
Becker, Helmut;1970;Personalleiter;75;1;AfD;HE;17;;0;
Becker, Klaus-Christian;1942;Oberstudienrat a.D.;95;1;ÖDP;HH;2;;0;
Becker, Uwe;1954;Künstler, Journalist;83;1;Die PARTEI;NW;17;;0;
Becker, Walter Aloys;1941;Rentner;95;1;REP;RP;9;;0;
Beckers, Ephraim;1995;Schüler;94;1;Die PARTEI;NW;15;109;0;
Beckmann, Bert;1958;Elektriker;31;1;MLPD;MV;4;;0;
Beckmann, Marius;1989;Student;94;1;Die PARTEI;HE;10;;0;
Beckmann, Markus;1988;Student;94;1;Anderer KWV;;;83;0;
Beckmeyer, Uwe Karl;1949;MdB, Senator a.D.;76;1;SPD;HB;3;55;1;
Beermann, Maik;1981;Sparkassenbetriebswirt;69;1;CDU;NI;25;40;2;
Behlen, Jörg Hartmut;1968;Landwirt;1;1;FDP;;;171;0;
Behn, Karl;1948;Maurermeister;44;1;FDP;NI;21;29;0;
Behnke, Manfred;1948;Rentner;95;1;PBC;NI;8;;0;
Behrendt, Dr. Hermann;1941;Wirtschaftsjurist;81;1;AfD;NW;6;109;0;
Behrendt, Volker;1967;Diplom-Finanzwirt;76;1;ÖDP;HH;1;23;0;
