# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;;Minkus;Helmut Anton;m;1952;Lilienthal;Bad Brückenau;Konstrukteur;27;;;;;;HB;MLPD;Marxistisch-Leninistische Partei Deutschlands;5;;0
;;Miraß;Heiko Fred Max;m;1967;Poseritz;Greifswald;Vorsitzender der Geschäftsführung;71;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;SPD;Sozialdemokratische Partei Deutschlands;MV;SPD;Sozialdemokratische Partei Deutschlands;4;;0
;;Miro;Antonietta;w;1995;Berlin;Frankfurt (Oder);Studentin;4;BE;82;Berlin-Neukölln;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;73;;0
;;Mirow;Sahra;w;1984;Heidelberg;Lübeck;wiss. Mitarbeiterin;84;BW;274;Heidelberg;DIE LINKE;DIE LINKE;BW;DIE LINKE;DIE LINKE;9;;0
;;Misch;Thomas;m;1957;Lübeck;Lübeck;stellv. Fraktionsgeschäftsführer;71;;;;;;SH;FREIE WÄHLER;FREIE WÄHLER;5;;0
;;Misini;Lucie;w;1979;Bergisch Gladbach;Teplice;selbständig;9;NW;100;Rheinisch-Bergischer Kreis;DIE LINKE;DIE LINKE;;;;;;0
;;Misselhorn;Sebastian;m;1997;Edling;Rosenheim;Auszubildender;4;BY;222;Rosenheim;DIE LINKE;DIE LINKE;BY;DIE LINKE;DIE LINKE;16;;0
;;Mithöfer;Karsten;m;1976;Melle;Melle;Ingenieur für Holztechnik (B. A.) / Softwareentwickler;22;;;;;;NI;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;6;;0
;;Mittag;Susanne;w;1958;Delmenhorst;Cleveland, USA;Polizeibeamtin;53;NI;28;Delmenhorst – Wesermarsch – Oldenburg-Land;SPD;Sozialdemokratische Partei Deutschlands;NI;SPD;Sozialdemokratische Partei Deutschlands;2;X;2
;;Mix;Stefan;m;1963;Würselen;Bardenberg (jetzt Würselen);Geschäftsführer / Dipl.-Ingenieur für Architektur;71;;;;;;NW;SPD;Sozialdemokratische Partei Deutschlands;78;;0
;;Möbius;Bernd;m;1959;Uetersen;Uetersen;Informatiker;43;SH;7;Pinneberg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Möbius;Gabriele;w;1968;Alling;Berchtesgarden;selbständig;9;;;;;;BY;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;6;;0
;;Möckel;Michael;m;1979;Frankfurt (Oder);Frankfurt (Oder);Buchhändler;62;;;;;;BB;CDU;Christlich Demokratische Union Deutschlands;11;;0
;;Mock-Hofeditz;Kerstin;w;1966;Husum;Köln;Biologin;41;;;;;;SH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;11;;0
;;Mohamed Ali;Amira;w;1980;Oldenburg (Oldenburg);Hamburg;Rechtsanwältin;73;NI;27;Oldenburg – Ammerland;DIE LINKE;DIE LINKE;NI;DIE LINKE;DIE LINKE;5;;2
;;Mohr;Markus;m;1984;Aachen;Simmerath;Unternehmer;71;NW;87;Aachen I;AfD;Alternative für Deutschland;;;;;;0
;;Mohrhardt;Carsten;m;1975;Stutensee;Karlsruhe;Arzt;81;;;;;;BW;CDU;Christlich Demokratische Union Deutschlands;47;;0
;;Möhring;Cornelia;w;1960;Giekau;Hamburg;Dipl.-Sozialökonomin;91;SH;7;Pinneberg;DIE LINKE;DIE LINKE;SH;DIE LINKE;DIE LINKE;1;X;2
;;Möhring;Maximilian;m;1991;Stolberg (Rhld.);Stolberg (Rhld.);Student;4;NW;88;Aachen II;PIRATEN;Piratenpartei Deutschland;;;;;;0
;;Möhrmann;Lutz;m;1963;Bad Liebenzell;Hamburg;Programmierer;43;;;;;;BW;BGE;Bündnis Grundeinkommen;17;;0
;;Mohrs;Falko;m;1984;Wolfsburg;Wolfsburg;Dipl.-Kaufmann (FH) / Speditionskaufmann;71;NI;51;Helmstedt – Wolfsburg;SPD;Sozialdemokratische Partei Deutschlands;NI;SPD;Sozialdemokratische Partei Deutschlands;19;;1
;;Mohr-Simeonidis;Ingeborg;w;1950;Reichshof;Grevesmühlen;Rentnerin;81;NW;149;Olpe – Märkischer Kreis I;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;17;;0
;;Mohs;Christoph;m;1971;Stuttgart;Stuttgart;Verlagsangestellter;92;BW;259;Stuttgart II;BüSo;Bürgerrechtsbewegung Solidarität;;;;;;0
;;Mohs;Hubertus;m;1939;Stuttgart;Wien;Elektroingenieur i. R.;5;BW;258;Stuttgart I;BüSo;Bürgerrechtsbewegung Solidarität;;;;;;0
;;Mölders;Martin;m;1958;Arnstadt;Haldern;Dipl.-Volkswirt;71;TH;192;Gotha – Ilm-Kreis;FDP;Freie Demokratische Partei;TH;FDP;Freie Demokratische Partei;6;;0
;;Moll;Claudia;w;1968;Eschweiler;Eschweiler;Altenpflegerin;82;NW;88;Aachen II;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;38;;1
Dr.;;Moll;Herbert;m;1954;Quierschied;Sulzbach/ Saar;Elektroingenieur;26;;;;;;SL;FDP;Freie Demokratische Partei;7;;0
;;Möll;Volker;m;1964;Königslutter am Elm;Michelstadt;Geschäftsführer;71;NI;51;Helmstedt – Wolfsburg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Möller;Felix;m;1986;Wiesbaden;Schwalmstadt;Politikwissenschaftler;91;HE;179;Wiesbaden;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Möller;Lüder;m;1949;Lübeck;Cuxhaven;Rentner;5;SH;11;Lübeck;MLPD;Marxistisch-Leninistische Partei Deutschlands;SH;MLPD;Marxistisch-Leninistische Partei Deutschlands;5;;0
;;Möller;Michael;m;1974;Barsbüttel;Bad Oeynhausen;Schulsozialarbeiter;83;;;;;;SH;ÖDP;Ökologisch-Demokratische Partei;4;;0
;;Möller;Siemtje;w;1983;Varel;Emden;Lehrerin (StRin);84;NI;26;Friesland – Wilhelmshaven – Wittmund;SPD;Sozialdemokratische Partei Deutschlands;NI;SPD;Sozialdemokratische Partei Deutschlands;18;;1
;;Möller;Wilko;m;1966;Frankfurt (Oder);Hannover;Bundespolizeibeamter;53;;;;;;BB;AfD;Alternative für Deutschland;11;;0
;;Möller-Neustock;Antje;w;1961;Kiel;Wesselburen;Dipl.-Informatikerin (FH);43;;;;;;SH;SPD;Sozialdemokratische Partei Deutschlands;16;;0
;;Mollik;Jürgen;m;1951;Unna;Caputh;Architekt;31;NW;144;Unna I;EB: Mollik;Bürgerkandidat – für Gemeinwohl und Volksentscheid;;;;;;0
;;Molter;Martin;m;1975;Schwerin;Schwerin;selbständig;9;;;;;;MV;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;2;;0
;;Monstadt;Dietrich;m;1957;Schwerin;Bochum;MdB / Rechtsanwalt;71;MV;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;CDU;Christlich Demokratische Union Deutschlands;MV;CDU;Christlich Demokratische Union Deutschlands;3;X;1
;;Monz;Robert Oliver Florian Walter Josef Mohamed;m;1985;Bamberg;London;Student;4;;;;;;BY;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;15;;0
;;Moors;Jochen Wilhelm;m;1978;Tönisvorst;Krefeld;Revisor;72;;;;;;NW;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;2;;0
;;Morassi;Marion;w;1963;Bad Neuenahr-Ahrweiler;Bad Neuenahr;Reiseverkehrskauffrau;63;RP;198;Ahrweiler;DIE LINKE;DIE LINKE;;;;;;0
;;Morawetz;Jana Esther;w;1965;Berlin;Halle (Saale);Reiseverkehrskauffrau;63;;;;;;NW;Gesundheitsforschung;Partei für Gesundheitsforschung;4;;0
;;Morawski;Tobias;m;1984;Berlin;Berlin;Student;4;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;61;;0
;;Mordhorst;Uwe;m;1958;Tambach-Dietharz/Thür. Wald;Erfurt;Industriemechaniker;25;;;;;;TH;BGE;Bündnis Grundeinkommen;6;;0
;;Morgenroth;Jan Boris;m;1975;Weimar;Weimar;Zahntechniker;82;;;;;;TH;NPD;Nationaldemokratische Partei Deutschlands;6;;0
;;Morgenstern;Meik;m;1985;Hatten;Annaberg;Arbeiter;62;;;;;;NI;DM;Deutsche Mitte;1;;0
;;Möring;Karsten;m;1949;Köln;Schneverdingen;MdB;71;NW;93;Köln I;CDU;Christlich Demokratische Union Deutschlands;NW;CDU;Christlich Demokratische Union Deutschlands;42;X;1
;;Moritz;Karina;w;1980;Schwalmstadt;Schwalmstadt;Fachkrankenschwester;81;;;;;;HE;CDU;Christlich Demokratische Union Deutschlands;37;;0
;;Mörl;Ingo;m;1967;Leinfelden-Echterdingen;Leipzig;Umschüler;4;;;;;;BW;PIRATEN;Piratenpartei Deutschland;4;;0
;;Morro Costa;Enrico;m;1986;Fellbach;Stuttgart;Unternehmer;71;;;;;;BW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;8;;0
;;Mörseburg;Maximilian;m;1992;Stuttgart;Stuttgart;Student;4;;;;;;BW;CDU;Christlich Demokratische Union Deutschlands;42;;0
;;Mortler;Marlene;w;1955;Lauf a.d.Pegnitz;Lauf a.d.Pegnitz;MdB / Hauswirtschaftsmeisterin;71;BY;246;Roth;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;9;X;1
;;Mosblech;Volker;m;1955;Duisburg;Duisburg;MdB / selbst. Versicherungskaufmann;71;NW;116;Duisburg II;CDU;Christlich Demokratische Union Deutschlands;NW;CDU;Christlich Demokratische Union Deutschlands;52;X;0
;;Mosca Spatz;Alexander;m;1994;Großostheim;Nürnberg;Student;4;BY;247;Aschaffenburg;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;42;;0
;;Moschner;Markus Georg;m;1973;Garbsen;Hannover;Tischlermeister;22;NI;43;Hannover-Land I;FREIE WÄHLER;FREIE WÄHLER;;;;;;0
;;Mosel;Tanita Christin;w;1996;Friedberg;Augsburg;Rettungssanitäterin;81;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;17;;0
;;Moseler;Christa;w;1960;Mainz;Meppen;Dipl.-Geologin;42;;;;;;RP;ÖDP;Ökologisch-Demokratische Partei;8;;0
;;Moser;Anneliese;w;1958;Wolfstein;Relsberg;Betriebswirtin;71;;;;;;RP;FDP;Freie Demokratische Partei;24;;0
;;Moser;Ingeborg;w;1961;Hohberg;Radolfzell am Bodensee;Unternehmensberaterin;71;;;;;;BW;DM;Deutsche Mitte;9;;0
;;Moser;Moritz;m;1997;Bexbach;Neunkirchen;Bundesfreiwilligendienstleistender;4;;;;;;SL;SPD;Sozialdemokratische Partei Deutschlands;15;;0
;;Moshammer;David Daniel;m;1988;Treuchtlingen;Treuchtlingen;Verwaltungsbeamter;73;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;10;;0
;;Mosler;Guido Mario;m;1967;Köln;Hüttental;Biologe;41;;;;;;NW;BGE;Bündnis Grundeinkommen;8;;0
;;Mosmann;Thomas;m;1972;Tuttlingen;Villingen-Schwenningen;Einzelhandelskaufmann;62;;;;;;BW;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;1;;0
;;Moss;Leona;w;1963;Berlin;Bad Windsheim;Lehrerin;84;;;;;;BE;DM;Deutsche Mitte;8;;0
;van der;Most;Karin;w;1963;Wuppertal;Gronau (Westf.);Dipl.-Sozialwissenschaftlerin;91;NW;103;Solingen – Remscheid – Wuppertal II;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;44;;0
;;Mothes;Käty;w;1993;Falkenstein/Vogtl.;Rodewisch;Gesundheits- und Krankenpflegerin;81;;;;;;SN;DIE LINKE;DIE LINKE;11;;0
;;Motschmann;Elisabeth Charlotte;w;1952;Bremen;Lübeck;MdB / Staatsrätin a. D.;71;HB;54;Bremen I;CDU;Christlich Demokratische Union Deutschlands;HB;CDU;Christlich Demokratische Union Deutschlands;1;X;2
;;Movassat;Niema;m;1984;Oberhausen;Wuppertal;Jurist;73;NW;117;Oberhausen – Wesel III;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;6;X;2
;;Mpanu-Mpanu-Plato;Nzimbu;w;1964;Fellbach;Kinshasa;Bildungsreferentin;84;;;;;;BW;CDU;Christlich Demokratische Union Deutschlands;40;;0
;;Mrosek;Andreas;m;1958;Dessau-Roßlau;Dessau;MdL / Dipl.-Ing. für Schiffsführung;71;ST;70;Dessau – Wittenberg;AfD;Alternative für Deutschland;ST;AfD;Alternative für Deutschland;4;;2
;;Mrotzeck;Dirk;m;1966;Hechingen;Berlin;Speditionskaufmann;51;BW;295;Zollernalb – Sigmaringen;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;24;;0
;;Mueller;Alexander Hermann;m;1963;Bonn;Meinerzhagen;Informatiker;41;;;;;;NW;Die Humanisten;Partei der Humanisten;7;;0
;;Mühlenweg;Siegfried;m;1950;Vlotho;Brackwede (jetzt Bielefeld);Rentner;5;NW;133;Herford – Minden-Lübbecke II;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;51;;0
;;Mühlmann;Alexander;m;1971;Hauenstein;Hamburg;Erzieher;83;RP;209;Kaiserslautern;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;RP;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;3;;0
;;Müller;Alexander;m;1969;Niedernhausen;Bendorf am Rhein;Dipl.-Informatiker;71;HE;178;Rheingau-Taunus – Limburg;FDP;Freie Demokratische Partei;HE;FDP;Freie Demokratische Partei;6;;2
;;Müller;Alexander;m;1979;München;München;Sachbearbeiter;43;BY;219;München-Süd;BP;Bayernpartei;;;;;;0
;;Müller;Andreas Werner;m;1992;Koblenz;Koblenz;Kommunikationskaufmann;92;RP;199;Koblenz;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;;;0
;;Müller;Antonia;w;1995;Schwielowsee;Berlin-Zehlendorf;Studentin;4;;;;;;BB;SPD;Sozialdemokratische Partei Deutschlands;17;;0
;;Müller;Axel;m;1963;Weingarten;Esslingen am Neckar;Richter;73;BW;294;Ravensburg;CDU;Christlich Demokratische Union Deutschlands;;;;;;1
;;Müller;Bernd;m;1978;Cottbus;Riesa;Journalist;92;;;;;;BB;DKP;Deutsche Kommunistische Partei;3;;0
;;Müller;Bettina;w;1959;Flörsbachtal;Wasserlos (jetzt Alzenau);MdB;71;HE;175;Main-Kinzig – Wetterau II – Schotten;SPD;Sozialdemokratische Partei Deutschlands;HE;SPD;Sozialdemokratische Partei Deutschlands;8;X;2
;;Müller;Brigitte;w;1941;Schönwalde-Glien;Deibow;Rentnerin;5;BB;58;Oberhavel – Havelland II;DKP;Deutsche Kommunistische Partei;;;;;;0
;;Müller;Carsten;m;1970;Braunschweig;Braunschweig;Rechtsanwalt / Bankkaufmann;72;NI;50;Braunschweig;CDU;Christlich Demokratische Union Deutschlands;NI;CDU;Christlich Demokratische Union Deutschlands;8;X;2
;;Müller;Claudia;w;1981;Stralsund;Rostock;Betriebswirtin;71;MV;15;Vorpommern-Rügen – Vorpommern-Greifswald I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;MV;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;;2
;;Müller;Clemens Carl;m;1993;Dresden;Leipzig;Student;4;;;;;;SN;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;7;;0
;;Müller;Detlef;m;1964;Chemnitz;Karl-Marx-Stadt (jetzt Chemnitz);Lokomotivführer;52;SN;162;Chemnitz;SPD;Sozialdemokratische Partei Deutschlands;SN;SPD;Sozialdemokratische Partei Deutschlands;4;X;2
;;Müller;Dunja;w;1979;Windeck;Waldbröl;Angestellte;71;;;;;;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;9;;0
;;Müller;Eckhard;m;1954;Paderborn;Herbran;selbst. Dipl.-Psychologe;81;;;;;;NW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;20;;0
;;Müller;Edmund;m;1969;Werder (Havel);Neustadt an der Aisch;Dipl.-Ing. Maschinenbau;25;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;EB: Müller;Gerechtigkeit für Trennungsväter und Justizreformen;;;;;;0
;;Müller;Elke;w;1971;Münster;Castrop-Rauxel;Referentin;84;;;;;;NW;CDU;Christlich Demokratische Union Deutschlands;63;;0
;;Müller;Ella;w;1986;Freiburg im Breisgau;Vorwerk;Historikerin;91;;;;;;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;35;;0
;;Müller;Felix;m;1975;Konstanz;Hamburg;Architekt;31;;;;;;BW;BGE;Bündnis Grundeinkommen;18;;0
Dr.;;Müller;Gerhard (Gerd);m;1955;Durach;Krumbach (Schwaben);MdB / Bundesminister;71;BY;256;Oberallgäu;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;5;X;1
;;Müller;Hansjörg Gerhard Georg;m;1968;Ainring;Treuchtlingen;selbst. Interimmanager;9;BY;225;Traunstein;AfD;Alternative für Deutschland;BY;AfD;Alternative für Deutschland;6;;2
;;Müller;Joachim Stefan;m;1973;Darmstadt;Gießen;Dipl.-Informatiker (FH);43;;;;;;HE;PIRATEN;Piratenpartei Deutschland;13;;0
Dr.;;Müller;Johannes;m;1969;Sebnitz;Dresden;Facharzt für Innere und Allgemeinmedizin;81;;;;;;SN;NPD;Nationaldemokratische Partei Deutschlands;5;;0
;;Müller;Johannes Alexander;m;1992;Hamburg;Gunzenhausen;Student;4;;;;;;HH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;;0
Dr.;;Müller;Kai;m;1974;Bad Marienberg (Westerwald);Kirchen (Sieg);Geschäftsführer;71;;;;;;RP;CDU;Christlich Demokratische Union Deutschlands;35;;0
;;Müller;Karolin;w;1987;Niedergörsdorf;Lutherstadt Wittenberg;Allround-Personalsachbearbeiterin;71;;;;;;BB;SPD;Sozialdemokratische Partei Deutschlands;11;;0
;;Müller;Klaus;m;1952;Windeck;Mittelsaurenbach;Maurer;32;;;;;;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;14;;0
;;Müller;Lisa;w;1994;Dresden;Dresden;Studentin;4;;;;;;SN;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;2;;0
;;Müller;Matthias;m;1981;Berlin;Wolgast;med. Dokumentar;73;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;28;;0
;;Müller;Maurice Benjamin;m;1983;Bremerhaven;Kassel;Kommunikationswissenschaftler;91;HB;55;Bremen II – Bremerhaven;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;2;;0
;;Müller;Moritz Alexander;m;1992;Bensheim;Seeheim-Jugenheim;Student;4;HE;188;Bergstraße;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;10;;0
;;Müller;Norbert;m;1986;Potsdam;Wriezen;MdB / Student;71;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;DIE LINKE;DIE LINKE;BB;DIE LINKE;DIE LINKE;4;X;2
;;Müller;Olaf;m;1963;Jena;Varel;MdL / Geschäftsführer;71;TH;191;Jena – Sömmerda – Weimarer Land I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Müller;Peter;m;1961;Kempen;Krefeld;Industriekaufmann;71;NW;114;Krefeld II – Wesel II;AfD;Alternative für Deutschland;;;;;;0
;;Müller;Regina;w;1962;Windeck;Nümbrecht;Hausfrau;6;;;;;;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;8;;0
;;Müller;Sascha;m;1970;Nürnberg;Essen;Landesschatzmeister;24;BY;245;Nürnberg-Süd;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BY;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;16;;0
;;Müller;Sascha;m;1986;Altenkirchen (Westerwald);San Carlos City, Philippinen;Industrieschlosser;92;RP;197;Neuwied;FREIE WÄHLER;FREIE WÄHLER;RP;FREIE WÄHLER;FREIE WÄHLER;5;;0
;;Müller;Sepp;m;1989;Gräfenhainichen;Lutherstadt Wittenberg;Dipl.-Bankbetriebswirt;72;ST;70;Dessau – Wittenberg;CDU;Christlich Demokratische Union Deutschlands;ST;CDU;Christlich Demokratische Union Deutschlands;6;;1
;;Müller;Stefan;m;1975;Großenseebach;Neustadt a.d.Aisch;MdB / parl. Staatssekretär;71;BY;242;Erlangen;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;11;X;1
;;Müller;Thomas;m;1954;Burgkunstadt;Hochstadt a.Main;Apotheker;81;BY;240;Kulmbach;ÖDP;Ökologisch-Demokratische Partei;BY;ÖDP;Ökologisch-Demokratische Partei;3;;0
;;Müller;Timo;m;1991;Idstein;Wiesbaden;Student;4;HE;178;Rheingau-Taunus – Limburg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Müller;Wilhelm Dieter;m;1955;Völklingen;Saarbrücken-Dudweiler;Werkzeugmacher;24;SL;296;Saarbrücken;AfD;Alternative für Deutschland;SL;AfD;Alternative für Deutschland;2;;0
;;Müller-Böhm;Roman;m;1992;Mülheim an der Ruhr;Essen;Student;4;NW;117;Oberhausen – Wesel III;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;18;;2
;;Müller-Gemmeke;Beate;w;1960;Pliezhausen;Frankfurt am Main;MdB;71;BW;289;Reutlingen;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;7;X;2
;;Müller-Horn;Kai Michael;m;1944;Düsseldorf;Breslau;Architekt i. R.;5;NW;109;Mönchengladbach;EB: Müller-Horn;INTERNATIONALISTISCH;;;;;;0
;;Müller-Rosentritt;Frank;m;1982;Chemnitz;Karl-Marx-Stadt (jetzt Chemnitz);ltd. Angestellter / Geschäftsführer;71;SN;162;Chemnitz;FDP;Freie Demokratische Partei;SN;FDP;Freie Demokratische Partei;3;;2
;;Müller-Späth;Henning;m;1954;Dortmund;Weidenau (Siegen);Rentner;5;NW;143;Dortmund II;FREIE WÄHLER;FREIE WÄHLER;;;;;;0
;;Müllner;Lorena;w;1998;Altensteig;Nagold;Pflegehelferin FSJ;4;BW;280;Calw;DIE LINKE;DIE LINKE;;;;;;0
;;Multermann;Joachim;m;1969;Drensteinfurt;Hamm;Softwareentwickler;43;NW;130;Warendorf;AfD;Alternative für Deutschland;;;;;;0
;;Mültin;Manuel;m;1986;Karlsruhe;Karlsruhe;Rentner;5;;;;;;BW;DIE RECHTE;DIE RECHTE;1;;0
;;Multusch;Oliver Markus;m;1968;Mühldorf a.Inn;Wasserburg a.Inn;selbst. Maler und Lackierer;33;BY;212;Altötting;AfD;Alternative für Deutschland;;;;;;0
;;Münch-Steinbuch;Monika;w;1948;Stuttgart;Urbach;Narkoseärztin i. R.;5;;;;;;BW;DKP;Deutsche Kommunistische Partei;3;;0
;;Münder;Raimund Michael;m;1952;München;Regensburg;Berufsschullehrer;84;;;;;;BY;DKP;Deutsche Kommunistische Partei;1;;0
Dr.;;Mundt;Lothar;m;1940;Berlin;Berlin;Literaturwissenschaftler;91;BE;81;Berlin-Tempelhof-Schöneberg;AfD;Alternative für Deutschland;;;;;;0
;;Munir-Muuß;Alexandra Helga;w;1969;Frankfurt am Main;Memmingen;selbst. Gastronomin;63;;;;;;HE;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;2;;0
;;Müntefering;Michelle;w;1980;Herne;Herne;Journalistin;92;NW;141;Herne – Bochum II;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;30;X;1
;;Münz;Volker;m;1964;Uhingen;Verden (Aller);Bankkaufmann;72;BW;263;Göppingen;AfD;Alternative für Deutschland;BW;AfD;Alternative für Deutschland;8;;2
;;Münzenmaier;Sebastian;m;1989;Mainz;Darmstadt;Geschäftsführer;71;RP;205;Mainz;AfD;Alternative für Deutschland;RP;AfD;Alternative für Deutschland;1;;2
;;Münzing;David;m;1977;Stuttgart;Stuttgart;Systemadministrator;43;;;;;;BW;PIRATEN;Piratenpartei Deutschland;9;;0
;;Musah;Mohammed;m;1982;Schwerin;Malikiya, Syrien;selbständig;9;;;;;;MV;MLPD;Marxistisch-Leninistische Partei Deutschlands;4;;0
;;Musil;Michael;m;1947;Montabaur;Wiesbaden;Rentner;5;RP;204;Montabaur;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Muth;Martin;m;1989;Radebeul;München;ausbildungssuchend;6;;;;;;SN;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;12;;0
;;Mutlu;Özcan;m;1968;Berlin;Kelkit, Türkei;MdB / Dipl.-Ing. Nachrichtentechnik;26;BE;75;Berlin-Mitte;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;X;0
Dr.;;Mützenich;Rolf;m;1959;Köln;Köln;MdB;91;NW;95;Köln III;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;60;X;1
;;Mzyk;Agnieszka Monika;w;1976;Rottendorf;Tichau/Pleß, Polen;Bekleidungsingenieurin / Gesundheitspraktikerin;28;;;;;;BY;DM;Deutsche Mitte;4;;0
;;Nahles;Andrea;w;1970;Weiler;Mendig;MdB / Literaturwissenschaftlerin (M. A.);71;RP;198;Ahrweiler;SPD;Sozialdemokratische Partei Deutschlands;RP;SPD;Sozialdemokratische Partei Deutschlands;1;X;2
;;Nahlob;Ralf;m;1981;Leipzig;Halle (Saale);Fachwirt für Finanzberatung (IHK);72;;;;;;SN;AfD;Alternative für Deutschland;20;;0
