# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;Prinz von;Anhalt Dessau;Constantin Leopold;m;1947;Tegernsee;Stuttgart;Auktionator;61;BY;223;Bad Tölz-Wolfratshausen – Miesbach;AfD;Alternative für Deutschland;;;;;;0
;;Anhorn;Jens;m;1980;Sindelfingen;Böblingen;Bankkaufmann;72;;;;;;BW;AfD;Alternative für Deutschland;15;;0
;;Annen;Niels;m;1973;Hamburg;Hamburg;Historiker;91;HH;20;Hamburg-Eimsbüttel;SPD;Sozialdemokratische Partei Deutschlands;HH;SPD;Sozialdemokratische Partei Deutschlands;4;X;1
;;Anschütz;Elisabeth;w;1962;Windeck;Gummersbach;Hauswirtschaftsmeisterin;83;NW;97;Rhein-Sieg-Kreis I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;27;;0
;;Ansin;Rebecca;w;1989;Karlsruhe;Toronto;Schülerin;4;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;19;;0
;;Anspach-Papa;Kornelia;w;1961;Illingen;Hüttigweiler;Regierungsbeschäftigte;71;;;;;;SL;CDU;Christlich Demokratische Union Deutschlands;6;;0
;;Antrup;Carsten;m;1969;Lienen;Osnabrück;SAP-/IT-Berater;43;NW;128;Steinfurt III;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;27;;0
;;Apel;Rainer Karl-Heinz Hans-Helmut;m;1948;Wiesbaden;Hannover;Journalist;92;;;;;;HE;BüSo;Bürgerrechtsbewegung Solidarität;5;;0
Dr.;;Appelt;Andreas Michael Otto;m;1951;Bad Berleburg;Leipzig;Arzt;81;NW;148;Siegen-Wittgenstein;AfD;Alternative für Deutschland;;;;;;0
;;Applegate;Philipp;m;1988;Köln;Bad Hersfeld;Student;4;;;;;;NW;DIE LINKE;DIE LINKE;28;;0
